"",INFORMATION TECHNOLOGY[Full Time] (Generated on 05/06/2023 09:17 PM)
"",Course Code Course
ITT301,WEB APPLICATION DEVELOPMENT
ITT303,OPERATING SYSTEM CONCEPTS
ITT305,DATA COMMUNICATION AND NETWORKING
ITT307,FORMAL LANGUAGES AND AUTOMATA THEORY
ITT309,MANAGEMENT FOR SOFTWARE ENGINEERS
MCN301,DISASTER MANAGEMENT
ITL331,OPERATING SYSTEM AND NETWORK PROGRAMMING
"",LAB
ITL333,WEB APPLICATION DEVELOPMENT LAB
Register No,,Course Code (Grade)
TRV20IT021,"MCN301(C+), ITT301(B+), ITT303(C+), ITT305(B+), ITT307(C+), ITT309(B), ITL331(C+),ITL333(A+)"
TRV20IT022,"MCN301(C+), ITT301(S), ITT303(A), ITT305(B+), ITT307(B+), ITT309(B+), ITL331(S), ITL333(S)"
TRV20IT023,"MCN301(C+), ITT301(B+), ITT303(B), ITT305(B), ITT307(B), ITT309(B), ITL331(S), ITL333(A+)"
TRV20IT024,"MCN301(C), ITT301(A), ITT303(B+), ITT305(B+), ITT307(B+), ITT309(B+), ITL331(S), ITL333(A+)"
TRV20IT025,"MCN301(A), ITT301(B), ITT303(D), ITT305(B), ITT307(C), ITT309(A), ITL331(B+), ITL333(A+)"
TRV20IT026,"MCN301(P), ITT301(C+), ITT303(C), ITT305(B), ITT307(D), ITT309(D), ITL331(A), ITL333(A+)"
TRV20IT027,"MCN301(P), ITT301(F), ITT303(F), ITT305(P), ITT307(C), ITT309(D), ITL331(A), ITL333(C+)"
TRV20IT028,"MCN301(P), ITT301(C+), ITT303(C+), ITT305(C), ITT307(C+), ITT309(D), ITL331(B), ITL333(C)"
TRV20IT029,"MCN301(D), ITT301(B+), ITT303(S), ITT305(A), ITT307(C+), ITT309(A), ITL331(S), ITL333(S)"
TRV20IT030,"MCN301(P), ITT301(B), ITT303(B+), ITT305(C), ITT307(C), ITT309(A+), ITL331(S), ITL333(S)"
TRV20IT031,"MCN301(P), ITT301(D), ITT303(B+), ITT305(C), ITT307(B), ITT309(C+), ITL331(S), ITL333(A+)"
TRV20IT032,"MCN301(F), ITT301(P), ITT303(P), ITT305(F), ITT307(D), ITT309(P), ITL331(F), ITL333(D)"
TRV20IT033,"MCN301(P), ITT301(C), ITT303(C+), ITT305(D), ITT307(C+), ITT309(B+), ITL331(A), ITL333(B+)"
TRV20IT034,"MCN301(C+), ITT301(B+), ITT303(B+), ITT305(C+), ITT307(A), ITT309(A), ITL331(S), ITL333(A+)"
TRV20IT035,"MCN301(F), ITT301(B+), ITT303(B), ITT305(B), ITT307(C+), ITT309(C), ITL331(S), ITL333(S)"
TRV20IT036,"MCN301(P), ITT301(A), ITT303(B), ITT305(C+), ITT307(B), ITT309(A), ITL331(C+), ITL333(A+)"
TRV20IT037,"MCN301(P), ITT301(C+), ITT303(C), ITT305(D), ITT307(B), ITT309(B), ITL331(S), ITL333(S)"
TRV20IT038,"MCN301(P), ITT301(F), ITT303(F), ITT305(F), ITT307(F), ITT309(C+), ITL331(F), ITL333(C+)"
TRV20IT039,"MCN301(P), ITT301(F), ITT303(F), ITT305(F), ITT307(F), ITT309(P), ITL331(F), ITL333(B+)"
TRV20IT040,"MCN301(P), ITT301(C), ITT303(C), ITT305(C+), ITT307(C), ITT309(C), ITL331(S), ITL333(S)"
TRV20IT041,"MCN301(P), ITT301(A), ITT303(B), ITT305(C+), ITT307(C+), ITT309(C+), ITL331(S), ITL333(S)"
TRV20IT043,"MCN301(P), ITT301(F), ITT303(D), ITT305(D), ITT307(D), ITT309(D), ITL331(D), ITL333(C)"
TRV20IT045,"MCN301(B), ITT301(B+), ITT303(B+), ITT305(B+), ITT307(B+), ITT309(B), ITL331(A), ITL333(A+)"
